cid,name
1046,pyrazinamide
1983,paracetamol
2083,salbutamol
2162,amlodipine
2244,aspirin
2366,betahistine
2678,cetirizine
2719,chloroquine
2764,ciprofloxacin
2812,clotrimazole
2895,cyclobenzaprine
3033,diclofenac
3100,diphenhydramine
3365,fluconazole
3476,glimepiride
3639,hydrochlorothiazide
3672,ibuprofen
3767,isoniazid
3869,labetalol
3955,loperamide
3957,loratadine
3961,losartan
4034,meclizine
4091,metformin
4171,metoprolol
4594,omeprazole
4595,ondansetron
4679,pantoprazole
4740,pentoxifylline
4908,primaquine
4946,propranolol
5358,sumatriptan
5578,trimethoprim
5754,hydrocortisone
5755,prednisolone
5793,glucose
5819,levothyroxine
6251,mannitol
7028,pseudoephedrine
7187,benzoyl peroxide
10621,hesperidin
14052,ethambutol
27447,cephalexin
31401,ursodeoxycholic acid
33613,amoxicillin
37542,ribavirin
55283,itraconazole
60606,clopidogrel
60823,atorvastatin
60877,emtricitabine
64139,efavirenz
68911,artemether
84029,clarithromycin
126941,methotrexate
156391,naproxen
446596,mupirocin
446598,clindamycin
447043,azithromycin
464205,tenofovir
657298,propylthiouracil
1349907,methimazole
1549008,terbinafine
3001055,ranitidine
5281004,budesonide
5281040,montelukast
5281613,diosmin
5282379,isotretinoin
5284373,cyclosporine
5288783,calcipotriol
5360696,dextromethorphan
5362119,lisinopril
5479530,ceftriaxone
6435924,amoxicillin clavulanate
6437380,lumefantrine
6604200,nitrofurantoin
16132283,glucagon
45375808,sofosbuvir
54671203,doxycycline
54726191,dolutegravir
67505836,ledipasvir
70678557,insulin
135398508,entecavir
135398513,acyclovir
135398735,rifampicin
135398742,valacyclovir
