drug,disease
4034,(vertigo) paroymsal  positional vertigo
2366,(vertigo) paroymsal  positional vertigo
446598,acne
54671203,acne
5282379,acne
7187,acne
464205,aids
60877,aids
64139,aids
54726191,aids
5755,alcoholic hepatitis
4740,alcoholic hepatitis
2678,allergy
3957,allergy
3100,allergy
3672,arthritis
156391,arthritis
126941,arthritis
2083,bronchial asthma
5281004,bronchial asthma
5281040,bronchial asthma
3672,cervical spondylosis
156391,cervical spondylosis
2895,cervical spondylosis
135398513,chicken pox
135398742,chicken pox
31401,chronic cholestasis
1983,common cold
7028,common cold
5360696,common cold
1983,dengue
4091,diabetes
70678557,diabetes
3476,diabetes
5754,dimorphic hemmorhoids(piles)
5281613,dimorphic hemmorhoids(piles)
3100,drug reaction
5755,drug reaction
3365,fungal infection
55283,fungal infection
2812,fungal infection
1549008,fungal infection
4595,gastroenteritis
3955,gastroenteritis
4594,gerd
4679,gerd
3001055,gerd
2244,heart attack
60606,heart attack
60823,heart attack
4171,heart attack
1983,hepatitis a
464205,hepatitis b
135398508,hepatitis b
45375808,hepatitis c
67505836,hepatitis c
37542,hepatitis e
5362119,hypertension
3961,hypertension
2162,hypertension
3639,hypertension
1349907,hyperthyroidism
657298,hyperthyroidism
4946,hyperthyroidism
5793,hypoglycemia
16132283,hypoglycemia
5819,hypothyroidism
446596,impetigo
27447,impetigo
6435924,impetigo
31401,jaundice
68911,malaria
6437380,malaria
2719,malaria
4908,malaria
5358,migraine
4946,migraine
3672,migraine
1983,osteoarthristis
3672,osteoarthristis
3033,osteoarthristis
6251,paralysis (brain hemorrhage)
3869,paralysis (brain hemorrhage)
4594,peptic ulcer diseae
33613,peptic ulcer diseae
84029,peptic ulcer diseae
33613,pneumonia
447043,pneumonia
5479530,pneumonia
126941,psoriasis
5288783,psoriasis
5284373,psoriasis
3767,tuberculosis
135398735,tuberculosis
14052,tuberculosis
1046,tuberculosis
2764,typhoid
5479530,typhoid
447043,typhoid
6604200,urinary tract infection
2764,urinary tract infection
5578,urinary tract infection
5281613,varicose veins
10621,varicose veins
