Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Acute Flaccid Myelitis,arm_weakness,leg_weakness,loss_of_muscle_tone,loss_of_reflexes,,,,,,,,,,,,,
Acute Lymphocytic Leukemia,weakness,fatigue,fever,night_sweats,easy_bruising,easy_bleeding,petechiae,shortness_of_breath,weight_loss,loss_of_appetite,bone_pain,abdominal_pain,fullness_below_ribs,swollen_lymph_nodes,frequent_infections,,
Acute Myeloid Leukemia,fever,shortness_of_breath,easy_bruising,easy_bleeding,petechiae,weakness,fatigue,weight_loss,loss_of_appetite,bone_pain,joint_pain,,,,,,
Anal Cancer,rectal_bleeding,anal_lump,anal_pain,anal_itching,anal_discharge,change_in_bowel_habits,,,,,,,,,,,
Anal Disorders,bleeding,discharge,itching,pain,swelling,,,,,,,,,,,,
Anxiety,avoidance_of_activities,behavioral_changes,,,,,,,,,,,,,,,
Aplastic Anemia,fatigue,weakness,dizziness,shortness_of_breath,easy_bruising,easy_bleeding,,,,,,,,,,,
Bipolar Disorder,elevated_mood,increased_energy,irritability,racing_thoughts,rapid_speech,decreased_need_for_sleep,grandiosity,,,,,,,,,,
Blood Clots,abdominal_pain,nausea,vomiting,limb_pain,limb_swelling,limb_tenderness,limb_warmth,shortness_of_breath,chest_pain,rapid_breathing,rapid_heart_rate,speech_difficulty,vision_problems,seizures,one_sided_weakness,sudden_headache,sweating
Breast Cancer,breast_lump,change_in_breast_size,breast_dimpling,inverted_nipple,nipple_discharge,breast_skin_changes,breast_pain,,,,,,,,,,
Breast Diseases,breast_lump,change_in_breast_shape,nipple_discharge,breast_skin_changes,breast_tenderness,,,,,,,,,,,,
Cancer,breast_lump,blood_in_urine,blood_in_stool,unexplained_bleeding,unexplained_bruising,non_healing_sore,difficulty_swallowing,mole_changes,,,,,,,,,
Cervical Cancer,abnormal_vaginal_bleeding,abnormal_vaginal_discharge,pelvic_pain,pain_during_sex,,,,,,,,,,,,,
Chagas Disease,fever,fatigue,body_aches,headache,loss_of_appetite,diarrhea,vomiting,rash,swollen_eyelid,,,,,,,,
Childhood Leukemia,fatigue,fever,night_sweats,easy_bruising,easy_bleeding,weight_loss,loss_of_appetite,petechiae,,,,,,,,,
Chronic Bronchitis,frequent_cough,mucus_producing_cough,wheezing,shortness_of_breath,chest_tightness,,,,,,,,,,,,
Chronic Lymphocytic Leukemia,swollen_lymph_nodes,fatigue,weakness,abdominal_fullness,fever,infections,easy_bruising,easy_bleeding,petechiae,weight_loss,night_sweats,,,,,,
