Disease,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6
Acute Flaccid Myelitis,physical_therapy,occupational_therapy,,,,
Acute Lymphocytic Leukemia,chemotherapy,radiation_therapy,stem_cell_transplant,targeted_therapy,,
Acute Myeloid Leukemia,chemotherapy,radiation_therapy,stem_cell_transplant,targeted_therapy,,
Anal Cancer,radiation_therapy,chemotherapy,surgery,,,
Anxiety,psychotherapy,cognitive_behavioral_therapy,acceptance_and_commitment_therapy,,,
Aplastic Anemia,blood_transfusion,stem_cell_transplant,immunosuppressive_medicine,,,
Bipolar Disorder,medicines,psychotherapy,electroconvulsive_therapy,transcranial_magnetic_stimulation,light_therapy,lifestyle_changes
Blood Clots,blood_thinners,thrombolytics,surgery,,,
Breast Cancer,surgery,mastectomy,lumpectomy,,,
Breast Diseases,monitoring,biopsy,surgery,,,
Cancer,surgery,radiation_therapy,chemotherapy,hormone_therapy,immunotherapy,stem_cell_transplant
Cervical Cancer,surgery,radiation_therapy,chemotherapy,targeted_therapy,immunotherapy,
Chagas Disease,antiparasitic_medicine,pacemaker,,,,
Childhood Leukemia,chemotherapy,radiation_therapy,stem_cell_transplant,targeted_therapy,,
Chronic Bronchitis,smoking_cessation,avoiding_lung_irritants,physical_activity,,,
Chronic Lymphocytic Leukemia,watchful_waiting,targeted_therapy,chemotherapy,radiation_therapy,immunotherapy,stem_cell_transplant
Chronic Myeloid Leukemia,targeted_therapy,chemotherapy,immunotherapy,stem_cell_transplant,donor_lymphocyte_infusion,surgery
Colorectal Cancer,surgery,radiofrequency_ablation,cryosurgery,,,
Cryptosporidiosis,supportive_care,iv_fluids,,,,
Delirium,environmental_modification,medicines,assistive_devices,,,
Dementia,medicines,occupational_therapy,speech_therapy,mental_health_counseling,music_or_art_therapy,
Dislocated Shoulder,closed_reduction,sling_immobilization,rehabilitation,,,
Diverticulosis and Diverticulitis,high_fiber_diet,antibiotics,anti_inflammatory_medicine,probiotics,,
Ebola,monoclonal_antibodies,supportive_care,,,,
Endocarditis,antibiotics,antifungal_medicine,,,,
Endometriosis,pain_relievers,hormone_therapy,,,,
Enlarged Prostate (BPH),lifestyle_changes,bladder_training,,,,
Fibromyalgia,medicines,lifestyle_changes,talk_therapy,,,
Flu,antiviral_medicine,rest,,,,
Fractures,cast_or_splint,surgery,,,,
Head and Neck Cancer,surgery,radiation_therapy,chemotherapy,immunotherapy,targeted_therapy,
Head Lice,topical_treatment,,,,,
Heart Valve Diseases,medicines,lifestyle_changes,surgery,,,
Hemophilia,clotting_factor_replacement,,,,,
Hidradenitis Suppurativa,medicines,surgery,,,,
Histoplasmosis,antifungal_medicine,,,,,
HIV,antiretroviral_therapy,,,,,
Hodgkin Lymphoma,chemotherapy,radiation_therapy,targeted_therapy,immunotherapy,,
